"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"2/24/2023","2/24/2023","2/27/2023","PANW","Option Expiration for PANW 2/24/2023 Put $130.00","OEXP","15S","",""
"2/24/2023","2/24/2023","2/27/2023","NVDA","Option Expiration for NVDA 2/24/2023 Put $200.00","OEXP","1S","",""
"2/24/2023","2/24/2023","2/27/2023","CVNA","Option Expiration for CVNA 2/24/2023 Call $11.00","OEXP","1S","",""
"2/24/2023","2/24/2023","2/27/2023","GOOGL","GOOGL 2/24/2023 Put $90.00","STC","1","$1.12","$111.98"
"2/24/2023","2/24/2023","2/27/2023","GOOGL","GOOGL 2/24/2023 Put $90.00","STC","1","$1.12","$111.98"
"2/24/2023","2/24/2023","2/27/2023","GOOGL","GOOGL 2/24/2023 Put $90.00","STC","1","$1.12","$111.98"
"2/24/2023","2/24/2023","2/27/2023","GOOGL","GOOGL 2/24/2023 Put $90.00","STC","1","$1.03","$102.98"
"2/24/2023","2/24/2023","2/27/2023","GOOGL","GOOGL 2/24/2023 Put $90.00","STC","1","$1.03","$102.98"
"2/24/2023","2/24/2023","2/27/2023","GOOGL","GOOGL 2/24/2023 Put $90.00","STC","1","$1.03","$102.98"
"2/24/2023","2/24/2023","2/27/2023","GOOGL","GOOGL 2/24/2023 Put $90.00","STC","1","$1.03","$102.98"
"2/24/2023","2/24/2023","2/27/2023","GOOGL","GOOGL 2/24/2023 Put $90.00","STC","3","$1.03","$308.98"
"2/23/2023","2/23/2023","2/24/2023","CVNA","CVNA 2/24/2023 Call $11.00","BTO","1","$1.08","($108.00)"
"2/23/2023","2/23/2023","2/24/2023","SPY","SPY 2/28/2023 Put $390.00","STC","10","$0.41","$409.97"
"2/23/2023","2/23/2023","2/24/2023","SPY","SPY 2/28/2023 Put $390.00","STC","20","$0.41","$819.93"
"2/23/2023","2/23/2023","2/24/2023","SPY","SPY 2/28/2023 Put $390.00","STC","10","$0.41","$409.97"
"2/23/2023","2/23/2023","2/24/2023","SPY","SPY 2/28/2023 Put $390.00","STC","10","$0.41","$409.97"
"2/23/2023","2/23/2023","2/24/2023","SPY","SPY 2/28/2023 Put $390.00","BTO","26","$0.66","($1,716.00)"
"2/23/2023","2/23/2023","2/24/2023","SPY","SPY 2/28/2023 Put $390.00","BTO","17","$0.66","($1,122.00)"
"2/23/2023","2/23/2023","2/24/2023","SPY","SPY 2/28/2023 Put $390.00","BTO","2","$0.66","($132.00)"
"2/23/2023","2/23/2023","2/24/2023","SPY","SPY 2/28/2023 Put $390.00","BTO","2","$0.66","($132.00)"
"2/23/2023","2/23/2023","2/24/2023","SPY","SPY 2/28/2023 Put $390.00","BTO","1","$0.66","($66.00)"
"2/23/2023","2/23/2023","2/24/2023","SPY","SPY 2/28/2023 Put $390.00","BTO","2","$0.66","($132.00)"
"2/22/2023","2/22/2023","2/23/2023","AMD","AMD 2/24/2023 Put $70.00","BTO","2","$0.05","($10.00)"
"2/22/2023","2/22/2023","2/23/2023","AMD","AMD 2/24/2023 Put $70.00","BTO","31","$0.05","($155.00)"
"2/22/2023","2/22/2023","2/23/2023","AMD","AMD 2/24/2023 Put $70.00","BTO","10","$0.05","($50.00)"
"2/22/2023","2/22/2023","2/23/2023","AMD","AMD 2/24/2023 Put $70.00","BTO","20","$0.05","($100.00)"
"2/22/2023","2/22/2023","2/23/2023","AMD","AMD 2/24/2023 Put $70.00","BTO","30","$0.05","($150.00)"
"2/22/2023","2/22/2023","2/23/2023","AMD","AMD 2/24/2023 Put $70.00","BTO","2","$0.05","($10.00)"
"2/22/2023","2/22/2023","2/23/2023","AMD","AMD 2/24/2023 Put $70.00","BTO","5","$0.05","($25.00)"
"2/22/2023","2/22/2023","2/23/2023","GOOGL","GOOGL 2/24/2023 Put $90.00","BTO","10","$0.51","($510.00)"
"2/22/2023","2/22/2023","2/23/2023","NFLX","NFLX 2/24/2023 Put $335.00","STC","1","$4.10","$409.98"
"2/21/2023","2/21/2023","2/22/2023","PANW","PANW 2/24/2023 Put $130.00","STC","1","$0.04","$3.98"
"2/21/2023","2/21/2023","2/22/2023","PANW","PANW 2/24/2023 Put $130.00","STC","3","$0.04","$11.98"
"2/21/2023","2/21/2023","2/22/2023","PANW","PANW 2/24/2023 Put $130.00","STC","7","$0.04","$27.97"
"2/21/2023","2/21/2023","2/22/2023","PANW","PANW 2/24/2023 Put $130.00","STC","3","$0.04","$11.98"
"2/21/2023","2/21/2023","2/22/2023","PANW","PANW 2/24/2023 Put $130.00","STC","2","$0.04","$7.98"
"2/21/2023","2/21/2023","2/22/2023","PANW","PANW 2/24/2023 Put $130.00","STC","5","$0.04","$19.98"
"2/21/2023","2/21/2023","2/22/2023","PANW","PANW 2/24/2023 Put $130.00","STC","1","$0.04","$3.98"
"2/21/2023","2/21/2023","2/22/2023","PANW","PANW 2/24/2023 Put $130.00","STC","3","$0.04","$11.98"
"2/21/2023","2/21/2023","2/22/2023","PANW","PANW 2/24/2023 Put $130.00","STC","8","$0.04","$31.97"
"2/21/2023","2/21/2023","2/22/2023","PANW","PANW 2/24/2023 Put $130.00","STC","2","$0.04","$7.98"
"2/21/2023","2/21/2023","2/22/2023","PANW","PANW 2/24/2023 Put $130.00","BTO","43","$0.06","($258.00)"
"2/21/2023","2/21/2023","2/22/2023","PANW","PANW 2/24/2023 Put $130.00","BTO","7","$0.06","($42.00)"
"2/21/2023","2/21/2023","2/22/2023","NFLX","NFLX 2/24/2023 Put $335.00","STC","1","$4.20","$419.98"
"2/21/2023","2/21/2023","2/22/2023","NFLX","NFLX 2/24/2023 Put $335.00","BTO","1","$2.73","($273.00)"
"2/21/2023","2/21/2023","2/22/2023","NFLX","NFLX 2/24/2023 Put $335.00","BTO","1","$2.73","($273.00)"
"2/21/2023","2/21/2023","2/22/2023","NVDA","NVDA 2/24/2023 Put $200.00","BTO","1","$3.50","($350.00)"
"2/17/2023","2/17/2023","2/21/2023","GRAB","Option Expiration for GRAB 2/17/2023 Call $4.50","OEXP","25S","",""
"2/17/2023","2/17/2023","2/21/2023","SPY","SPY 2/17/2023 Put $400.00","STC","5","$0.01","$4.98"
"2/17/2023","2/17/2023","2/21/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","1","$0.20","$19.98"
"2/16/2023","2/16/2023","2/17/2023","SPY","SPY 2/17/2023 Put $400.00","STC","1","$0.24","$23.98"
"2/16/2023","2/16/2023","2/17/2023","SPY","SPY 2/17/2023 Put $400.00","STC","2","$0.24","$47.98"
"2/16/2023","2/16/2023","2/17/2023","SPY","SPY 2/17/2023 Put $400.00","STC","2","$0.25","$49.98"
"2/16/2023","2/16/2023","2/17/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","2","$0.72","$143.98"
"2/16/2023","2/16/2023","2/17/2023","SPY","SPY 2/17/2023 Put $400.00","STC","16","$0.21","$335.95"
"2/16/2023","2/16/2023","2/17/2023","SPY","SPY 2/17/2023 Put $400.00","STC","8","$0.21","$167.97"
"2/16/2023","2/16/2023","2/17/2023","SPY","SPY 2/17/2023 Put $400.00","STC","1","$0.21","$20.98"
"2/16/2023","2/16/2023","2/17/2023","SPY","SPY 2/17/2023 Put $400.00","STC","5","$0.21","$104.98"
"2/16/2023","2/16/2023","2/17/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","4","$0.74","$295.98"
"2/16/2023","2/16/2023","2/17/2023","SPY","SPY 2/17/2023 Put $400.00","STC","10","$0.34","$339.97"
"2/16/2023","2/16/2023","2/17/2023","SPY","SPY 2/17/2023 Put $400.00","STC","5","$0.29","$144.98"
"2/16/2023","2/16/2023","2/17/2023","SPY","SPY 2/17/2023 Put $400.00","STC","3","$0.29","$86.98"
"2/16/2023","2/16/2023","2/17/2023","SPY","SPY 2/17/2023 Put $400.00","STC","4","$0.29","$115.98"
"2/16/2023","2/16/2023","2/17/2023","SPY","SPY 2/17/2023 Put $400.00","STC","1","$0.29","$28.98"
"2/16/2023","2/16/2023","2/17/2023","SPY","SPY 2/17/2023 Put $400.00","STC","3","$0.29","$86.98"
"2/16/2023","2/16/2023","2/17/2023","SPY","SPY 2/17/2023 Put $400.00","STC","2","$0.29","$57.98"
"2/16/2023","2/16/2023","2/17/2023","SPY","SPY 2/17/2023 Put $400.00","STC","4","$0.29","$115.98"
"2/16/2023","2/16/2023","2/17/2023","SPY","SPY 2/17/2023 Put $400.00","STC","1","$0.29","$28.98"
"2/16/2023","2/16/2023","2/17/2023","SPY","SPY 2/17/2023 Put $400.00","STC","2","$0.29","$57.98"
"2/15/2023","2/15/2023","2/16/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","3","$1.10","$329.98"
"2/15/2023","2/15/2023","2/16/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","5","$1.10","$549.97"
"2/15/2023","2/15/2023","2/16/2023","SPY","SPY 2/17/2023 Put $400.00","BTO","37","$0.12","($444.00)"
"2/15/2023","2/15/2023","2/16/2023","SPY","SPY 2/17/2023 Put $400.00","BTO","38","$0.12","($456.00)"
"2/15/2023","2/15/2023","2/16/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","1","$1.23","$122.98"
"2/15/2023","2/15/2023","2/16/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","1","$1.26","$125.98"
"2/15/2023","2/15/2023","2/16/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","1","$1.26","$125.98"
"2/15/2023","2/15/2023","2/16/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","1","$1.23","$122.98"
"2/15/2023","2/15/2023","2/16/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","1","$1.23","$122.98"
"2/15/2023","2/15/2023","2/16/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","1","$1.23","$122.98"
"2/15/2023","2/15/2023","2/16/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","1","$1.23","$122.98"
"2/15/2023","2/15/2023","2/16/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","1","$1.21","$120.98"
"2/15/2023","2/15/2023","2/16/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","1","$1.21","$120.98"
"2/15/2023","2/15/2023","2/16/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","1","$1.14","$113.98"
"2/15/2023","2/15/2023","2/16/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","5","$1.01","$504.97"
"2/15/2023","2/15/2023","2/16/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","4","$1.05","$419.98"
"2/15/2023","2/15/2023","2/16/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","4","$0.97","$387.98"
"2/15/2023","2/15/2023","2/16/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","1","$0.97","$96.98"
"2/15/2023","2/15/2023","2/16/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","3","$0.97","$290.98"
"2/15/2023","2/15/2023","2/16/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","3","$1.00","$299.98"
"2/15/2023","2/15/2023","2/16/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","5","$0.98","$489.97"
"2/15/2023","2/15/2023","2/16/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","25","$0.65","$1,624.90"
"2/14/2023","2/14/2023","2/15/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","7","$0.39","$272.97"
"2/14/2023","2/14/2023","2/15/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","18","$0.38","$683.94"
"2/14/2023","2/14/2023","2/15/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","3","$0.21","$62.98"
"2/14/2023","2/14/2023","2/15/2023","PLTR","PLTR 2/17/2023 Call $9.00","STC","18","$0.21","$377.95"
